,epoch,acuracy,auroc
0,1,47.2,53.24740000000001
1,2,65.6,63.94610000000001
2,3,65.2,65.0779
3,4,69.7,63.88739999999999
4,5,68.9,66.15699999999998
5,6,79.7,76.2891
6,7,81.5,73.3801
7,8,84.5,77.08350000000002
8,9,81.3,77.2072
9,10,85.1,77.03219999999999
10,11,86.5,81.5274
11,12,86.5,80.4197
12,13,89.2,82.5389
13,14,90.8,82.8684
14,15,88.7,83.6537
15,16,90.5,83.91489999999999
16,17,91.5,85.0928
17,18,91.7,84.85470000000002
18,19,92.2,86.1001
19,20,92.3,82.7211
20,21,92.7,86.59089999999999
21,22,93.3,86.6746
22,23,94.0,88.1571
23,24,89.2,81.4759
24,25,93.0,86.2465
25,26,93.5,84.9213
26,27,92.4,86.82990000000001
27,28,93.2,85.8902
28,29,94.7,86.4996
29,30,93.2,87.066
30,31,93.7,87.72330000000001
31,32,92.7,86.7466
32,33,93.5,87.1365
33,34,89.1,84.52950000000001
34,35,93.9,86.9777
35,36,93.5,83.6029
36,37,94.4,85.62209999999999
37,38,93.1,87.7956
38,39,93.6,88.46350000000001
39,40,93.8,87.68079999999999
40,41,95.5,87.1306
41,42,95.1,85.4475
42,43,93.2,87.01840000000001
43,44,93.9,85.91170000000001
44,45,93.9,85.7065
45,46,93.7,87.39630000000001
46,47,90.2,85.6957
47,48,95.0,90.4827
48,49,93.8,89.46430000000001
49,50,94.4,86.03320000000001
50,51,95.1,89.54629999999999
51,52,95.0,87.79130000000002
52,53,90.0,83.2599
53,54,94.2,86.5213
54,55,93.9,88.3126
55,56,93.4,87.4307
56,57,94.7,90.0703
57,58,96.0,88.9926
58,59,94.3,88.1314
59,60,94.5,90.627
60,61,94.7,90.4411
61,62,95.9,89.5604
62,63,95.1,88.5727
63,64,94.6,88.9091
64,65,94.7,89.38489999999999
65,66,94.2,88.10900000000001
66,67,93.0,88.01339999999999
67,68,94.1,87.8389
68,69,96.0,89.8502
69,70,94.1,89.24080000000001
70,71,93.3,88.4054
71,72,95.2,88.6252
72,73,94.5,89.36259999999999
73,74,95.1,88.9699
74,75,93.8,88.5532
75,76,93.8,90.0065
76,77,94.9,89.7799
77,78,92.6,88.64260000000002
78,79,94.4,88.8796
79,80,93.1,89.0099
80,81,95.1,90.1311
81,82,95.7,91.147
82,83,94.5,89.1571
83,84,94.7,90.15429999999999
84,85,92.9,87.25150000000001
85,86,92.4,87.91660000000002
86,87,94.4,88.5367
87,88,94.9,90.5396
88,89,94.4,87.61280000000001
89,90,93.8,88.2466
90,91,95.6,90.2439
91,92,95.1,89.5865
92,93,95.5,91.34080000000002
93,94,95.8,89.47739999999999
94,95,95.8,90.78940000000001
95,96,95.8,89.02610000000001
96,97,94.9,89.42710000000001
97,98,95.1,91.3805
98,99,95.1,88.70439999999999
99,100,94.6,89.4259
100,101,93.8,89.9866
101,102,94.8,89.35210000000001
102,103,94.8,88.5232
103,104,96.8,89.9021
104,105,95.4,90.46730000000001
105,106,94.0,89.15660000000001
106,107,90.6,88.56
107,108,95.6,90.6489
108,109,95.0,88.0403
109,110,94.1,90.1643
110,111,94.8,90.57779999999998
111,112,94.5,90.1461
112,113,94.7,89.6131
113,114,94.9,91.5881
114,115,95.7,91.2664
115,116,95.3,90.937
116,117,96.1,91.1211
117,118,94.8,90.1675
118,119,96.1,90.4276
119,120,95.7,90.1688
120,121,95.9,91.04229999999998
121,122,95.6,90.39200000000001
122,123,96.0,91.0048
123,124,94.2,90.10810000000001
124,125,94.4,89.4229
125,126,93.0,87.9426
126,127,94.5,90.36120000000001
127,128,95.5,90.19080000000001
128,129,95.6,90.2814
129,130,94.2,89.27810000000001
130,131,95.3,91.741
131,132,94.8,89.62149999999998
132,133,94.2,89.3227
133,134,95.6,91.51650000000001
134,135,95.1,90.99510000000001
135,136,94.0,88.74119999999999
136,137,94.3,88.8485
137,138,93.5,87.9128
138,139,95.5,88.82950000000001
139,140,95.1,91.2311
140,141,95.2,91.1581
141,142,96.0,90.5407
142,143,95.6,90.8762
143,144,95.7,91.6086
144,145,95.5,90.8306
145,146,96.0,91.76010000000001
146,147,94.4,89.7921
147,148,95.0,90.6228
148,149,95.8,88.9154
149,150,94.6,88.90040000000002
150,151,96.0,91.44909999999999
151,152,95.7,92.1519
152,153,95.2,91.16000000000001
153,154,94.7,91.6733
154,155,94.4,90.99600000000001
155,156,94.7,88.7316
156,157,95.3,90.23150000000001
157,158,95.3,89.9739
158,159,95.2,90.0305
159,160,95.4,91.55749999999999
160,161,95.3,91.4926
161,162,93.6,88.43270000000001
162,163,95.7,91.1917
163,164,95.0,90.26070000000001
164,165,94.5,89.7166
165,166,95.1,91.00120000000001
166,167,95.7,90.54259999999998
167,168,95.5,90.51780000000001
168,169,96.2,90.5938
169,170,94.8,90.6477
170,171,95.3,92.1969
171,172,95.1,90.891
172,173,94.9,89.3422
173,174,94.4,89.5392
174,175,95.9,90.95139999999999
175,176,95.1,91.393
176,177,95.6,89.4024
177,178,93.4,89.4021
178,179,94.2,90.7778
179,180,96.1,90.8942
180,181,94.5,90.75800000000001
181,182,95.2,90.0322
182,183,95.8,91.93630000000002
183,184,95.6,90.15490000000001
184,185,95.7,90.9183
185,186,94.5,90.73560000000002
186,187,95.1,90.2699
187,188,93.5,89.91359999999999
188,189,95.1,91.38740000000001
189,190,95.0,89.38550000000001
190,191,96.1,91.497
191,192,95.0,89.05330000000001
192,193,93.9,90.0399
193,194,94.1,90.19030000000001
194,195,96.2,91.2602
195,196,97.2,90.517
196,197,96.0,90.6685
197,198,95.7,90.3135
198,199,95.4,91.08639999999998
199,200,95.5,88.90010000000001
200,201,94.0,89.5127
201,202,94.4,87.98330000000001
202,203,95.5,91.1647
203,204,95.1,90.26809999999999
204,205,95.8,91.48540000000001
205,206,93.7,88.00760000000001
206,207,95.8,90.9302
207,208,95.4,91.9571
208,209,95.8,91.47409999999999
209,210,95.3,90.6892
210,211,94.3,89.8365
211,212,94.7,88.9364
212,213,95.0,89.7432
213,214,95.7,90.3574
214,215,95.3,90.36269999999999
215,216,96.1,89.6011
216,217,95.5,90.53210000000001
217,218,95.8,91.3181
218,219,95.6,90.9127
219,220,94.8,91.3927
220,221,95.7,90.70739999999999
221,222,95.0,91.0211
222,223,94.3,90.51040000000002
223,224,96.1,91.08150000000002
224,225,95.7,91.6825
225,226,94.4,89.53060000000002
226,227,96.0,91.2265
227,228,96.2,91.87560000000002
